bystander condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
I,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,D,D,I
J,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,F,F,F,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
B,J,J,B,J,B,E,E,E,B,B,B,B,E,B,D,E,A,B,B,B,E
C,E,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A
D,H,D,D,D,D,D,D,D,D,D,H,H,H,H,H,D,D,H,H,H,H
E,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,I,G,F,F,F,F,F,F,F,F,F,F,F,F,G,F,F,G,F,G,F
G,D,D,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
I,H,I,I,I,I,I,I,I,I,I,I,I,I,I,H,H,H,H,H,H,H
J,F,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,F,F,F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,F,F,F,B,B,B,B,B,B,B,B,B,D,D,D,B,A,A,A,A,A
C,G,D,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,C,C,C
D,I,I,I,I,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,J,E,E,E,E,E,E,E,E,E,D,D,D,D,D,D,D,D,D,D
F,E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,J,J,J,J,J,I,I,J,J,J,J,J,J,J,J,J,J,J,J,J,J
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
J,I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,G,G,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,F,F,F,F,F,F,F,F,F,F,F,F,F,F,A,A,F,F,F,A,A
C,H,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,I,H,H
D,I,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,E,E,E
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,G,G,G,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D
G,I,J,J,J,J,J,J,G,J,G,G,J,G,J,J,J,J,J,J,J,J
H,E,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A
C,G,H,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,H
F,J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,J,J
G,H,H,H,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,I,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,I,I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,E,E,D,E,E,E,E,D,E,D,E,E,E,E,D,E,D,E,D
B,D,D,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B
C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,H,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,J,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,I,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,I,I,F,I
G,J,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
J,I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,I,D,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,J,J,J,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A
C,F,F,D,D,D,D,D,D,F,F,F,F,F,F,D,D,F,F,F,F,F
D,E,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,H,G,G,G,G,G,G,G,G,H,G,G,H,F,H,G,G,H,H,G,G
G,H,H,H,H,H,H,G,D,G,G,G,G,G,G,G,G,G,D,D,D,D
H,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,G
I,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,G,G,G,G,D,D,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E
B,H,H,E,E,E,E,E,E,E,E,H,E,E,E,A,A,H,A,E,A,A
C,J,J,C,C,C,C,C,C,C,C,C,C,C,C,C,F,C,C,C,C,C
D,I,D,D,D,D,D,D,D,I,D,D,D,D,I,D,D,I,I,I,I,I
E,H,H,H,H,H,H,H,H,H,H,H,E,H,H,H,H,H,H,H,H,H
F,E,F,F,F,F,F,F,F,F,F,F,F,F,E,E,E,E,F,H,E,E
G,I,H,G,G,G,G,H,G,G,H,H,G,G,G,G,G,G,G,H,G,G
H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,F,I,I,I,I,I,I,I,I,I,I,I,I,I,I,F,I,I,I,I,J
J,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,G,G,G,G,G,G,G,G,G,G,G,G,A,G,A,A,A,A,G,E,A
B,J,J,J,J,J,J,C,J,C,C,C,C,C,C,C,C,C,C,C,C,C
C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
D,J,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,J,F,F,F
G,F,D,D,F,F,D,D,F,D,F,D,F,D,D,D,F,D,F,F,F,F
H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,D,I,I,J,I,J,J,J,J,J,J,J,J,J,J,J,D,J,J,J,J
J,C,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,G,G,G,F,G,F,G,G,G,G,G,A,A,G,A,A,A,G,A,A,G
B,I,G,G,B,G,C,C,C,C,G,H,G,G,H,A,E,G,H,H,G,H
C,D,D,D,D,D,D,C,D,C,C,C,C,C,C,C,C,D,A,A,A,A
D,I,C,I,C,C,C,C,C,C,I,C,C,C,C,C,C,C,C,C,C,C
E,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,I,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,E,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,I,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,E,E,E,E,E,E,E,E,G,H,H,H,H,H,H,H,H,H,H
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,J,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,F,F,F,F,F,F,F,F,F,F,F,F,F,E,E,E,E,F,E,E,F
F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,I,I,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,I,C,C,I
H,J,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,E
I,H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,H,I,I,I
J,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,J,J,G,G,D,G,D,D,D,D,A,A,A,A,D,A,A,A,G,A,G
B,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,A
C,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,G,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,E,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E
F,E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,E,E,E,E,E,E
G,E,E,E,G,G,G,E,E,E,G,G,G,G,G,F,F,G,E,G,F,F
H,J,I,I,I,I,I,H,H,J,H,H,H,H,H,H,J,J,H,H,J,J
I,H,H,I,J,J,J,I,J,J,I,I,I,I,I,I,I,J,I,J,I,J
J,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
C,G,B,C,B,B,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B
D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
F,J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,A,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,D,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,J,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,D,D,A,A,E,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A
C,I,F,F,C,C,C,C,F,C,C,C,F,F,F,F,F,F,F,F,F,F
D,H,H,A,A,D,D,D,D,A,D,D,D,D,D,D,H,D,D,A,D,D
E,F,F,F,F,F,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
H,E,E,E,E,E,E,E,E,E,H,E,E,E,E,E,E,E,E,E,E,E
I,E,I,I,I,I,I,I,E,I,I,J,I,J,I,J,I,I,J,I,I,J
J,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A
C,G,G,G,G,G,C,C,G,G,G,G,G,G,G,G,G,G,G,C,G,G
D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
F,C,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,A,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,J,J,G
H,J,F,H,H,H,H,H,H,H,H,H,H,F,F,F,F,F,F,F,F,F
I,C,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,C,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,E,E,E,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,D,D,D,D,D,D,B,C,C,B,B,C,C,A,A,A,A,A,B,A,A
C,J,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
D,E,D,E,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,J,G,G,G,G,G,G,G,G,G,G,G,G,J,J,J,J,J,J,J,J
H,J,J,J,J,J,J,H,H,H,J,H,H,J,J,H,H,H,J,J,J,J
I,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
B,I,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,E,E,E,E,E,E,E,E,E,A,A,A,A,A,A,A,A,E,A,A,A
D,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,E,E,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
G,J,G,G,G,D,D,D,D,D,D,D,D,D,D,D,D,D,J,D,D,D
H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
C,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C
D,J,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,J,D
E,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,E,E,E
G,D,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D
I,J,I,I,I,I,I,I,I,I,I,I,J,J,J,J,J,J,J,J,J,J
J,I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,J,H,A,A,A,A,A,A,A,H,A,A,A,A,A,A,A,A,H,J,A
B,G,G,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A
C,E,E,E,C,C,C,C,C,C,C,C,C,C,C,E,E,C,D,E,E,E
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,H,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,E,E
G,D,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
H,E,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,E,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,E,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,I,I
C,E,D,D,D,D,C,C,C,C,C,D,C,C,D,D,C,D,D,D,D,C
D,I,D,D,D,D,D,D,D,D,D,D,D,D,D,I,I,I,I,I,I,I
E,H,F,E,F,E,E,E,E,E,I,E,I,E,E,E,I,E,E,I,E,H
F,J,J,F,F,F,F,F,F,F,F,F,F,F,F,F,E,E,E,E,E,E
G,H,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,C,C,C,G,C
H,D,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,D,D,D,D,D
I,J,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I
J,I,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,I,J,J,I
A,E,E,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
B,J,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,H,H,H,C,C,C,C,C,C,C,C,H,H,H,C,C,H,C,C,C,C
D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,F,F,E,E,E,E,E,E,E,E,H,H,H,H,H,H,H,H,H,H,D
F,J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,J,J,G,G,J,E,G,J,G,G,G,G,G,J,J,J,J,E,E,E,E
H,E,E,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,H,I,I,I,I,I,I,I,I,I,I,I,I,I,I,I,H,H,H,H,I
J,H,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
A,J,J,J,E,E,B,E,E,E,E,E,E,E,E,B,E,B,B,B,B,B
B,G,G,G,G,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
D,J,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,J,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,J,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
G,J,E,J,J,G,G,G,G,G,G,C,E,E,E,E,E,E,E,E,E,E
H,E,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
I,E,I,I,I,E,E,I,E,E,E,E,E,E,E,E,I,E,E,E,E,E
J,H,H,J,J,J,J,J,J,J,J,J,J,J,J,H,H,H,H,H,H,H
A,G,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J,J
B,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
C,I,D,C,C,C,C,C,C,C,C,C,C,C,C,D,C,I,C,C,C,C
D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
F,J,J,J,J,F,J,F,F,F,F,F,F,F,F,F,F,J,F,F,E,F
